,reactions,new_reaction,solved_by,confidence,modifiers,issue
0,C=CCOc1ccccc1>>Oc1ccccc1CC=C,C=CCOc1ccccc1>>Oc1ccccc1CC=C,,,[],
1,C\C=C\CC\C=C\C>>CC(C=C)C(C)C=C,C\C=C\CC\C=C\C>>CC(C=C)C(C)C=C,,,[],
2,CCCC[Sn](CCCC)(CCCC)CO[C@@H]1C[C@H](C=C1)N(CC=C)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N(CC=C)[C@@H]1CC=C[C@H]1CO.CCCC[SnH](CCCC)CCCC,CCCC[Sn](CCCC)(CCCC)CO[C@@H]1C[C@H](C=C1)N(CC=C)C(=O)OC(C)(C)C.[H].[H]>>CC(C)(C)OC(=O)N(CC=C)[C@@H]1CC=C[C@H]1CO.CCCC[SnH](CCCC)CCCC,rule-based-method,,[],
3,CC(C)C1=C/C=C(C)/CC\C=C(C)\CC[C@@H](OC\1)C(C)=C>>CC(C)C1=C/C=C(C)/CC\C=C(C)\CC\C=C(C)\C[C@@H]\1O,CC(C)C1=C/C=C(C)/CC\C=C(C)\CC[C@@H](OC\1)C(C)=C>>CC(C)C1=C/C=C(C)/CC\C=C(C)\CC\C=C(C)\C[C@@H]\1O,,,[],
4,CC(C)(C)[Si](C)(C)O[C@H]1[C@H](OCc2ccccc2)OCC1(C)C>>CC(C)(C)[Si](C)(C)O[C@H]1[C@@H](OCC1(C)C)[C@@H](O)c1ccccc1,CC(C)(C)[Si](C)(C)O[C@H]1[C@H](OCc2ccccc2)OCC1(C)C>>CC(C)(C)[Si](C)(C)O[C@H]1[C@@H](OCC1(C)C)[C@@H](O)c1ccccc1,,,[],
5,CS(=O)c1ccc(Cl)cc1.FC(F)(F)C(=O)OC(=O)C(F)(F)F>>FC(F)(F)C(=O)OCSc1ccc(Cl)cc1.OC(=O)C(F)(F)F,CS(=O)c1ccc(Cl)cc1.FC(F)(F)C(=O)OC(=O)C(F)(F)F>>FC(F)(F)C(=O)OCSc1ccc(Cl)cc1.OC(=O)C(F)(F)F,,,[],
6,CCC1(C\C=C(/C)COC=C)OCCO1>>CCC1(CC(CC=O)C(C)=C)OCCO1,CCC1(C\C=C(/C)COC=C)OCCO1>>CCC1(CC(CC=O)C(C)=C)OCCO1,,,[],
7,OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O=C=O,OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O=C=O,,,[],
8,OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1,OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O.O=C(O)O,mcs-based-method,,"['C-O Ester break', 'default single bond', 'append O to C-C bond', 'default single bond']",
9,OC(CC=C)C=C>>C=CCCCC=O,OC(CC=C)C=C>>C=CCCCC=O,,,[],
