,reactions
0,[CH:9]1=[CH:8][CH:7]=[C:6]([CH:11]=[CH:10]1)[C:2]([C:12]2=[CH:13][CH:14]=[CH:15][CH:16]=[CH:17]2)([CH2:3][CH:4]=[CH2:5])[NH2:1].[CH2:25]1[CH2:24][N:23]([CH2:28][CH2:27][O:26]1)[C:21]([CH:20]([CH:19]=[O:18])[C:29]=2[CH:34]=[CH:33][CH:32]=[CH:31][CH:30]=2)=[O:22]>>[CH:10]=1[CH:11]=[C:6]([CH:7]=[CH:8][CH:9]=1)[C:2]([C:12]2=[CH:17][CH:16]=[CH:15][CH:14]=[CH:13]2)=[N:1][CH:19]([CH2:5][CH:4]=[CH2:3])[CH:20]([C:29]3=[CH:34][CH:33]=[CH:32][CH:31]=[CH:30]3)[C:21](=[O:22])[N:23]4[CH2:24][CH2:25][O:26][CH2:27][CH2:28]4
1,[CH3:1][C:2](=[O:3])[CH2:4][S:5][CH2:6][CH:7]=[CH2:8].[NH2:11][CH:10]([CH3:9])[CH:12]([OH:13])[CH:14]=[CH2:15]>>[CH:14](=[CH:7][CH2:6][S:5][CH2:4][C:2]([CH3:1])=[O:3])[CH:12]([OH:13])[CH:10]([NH2:11])[CH3:9]
2,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH:9]([CH2:21][O:22][CH2:23][C:24]=1[CH:29]=[CH:28][CH:27]=[CH:26][CH:25]=1)[CH2:10][CH2:11][CH:12]([CH2:13][CH:14]=[CH2:15])[O:16][S:17](=[O:19])(=[O:20])[CH3:18]>>[CH:26]1=[CH:25][C:24](=[CH:29][CH:28]=[CH:27]1)[CH2:23][O:22][CH2:21][CH:9]2[O:8][CH:12]([CH2:11][CH2:10]2)[CH2:13][CH:14]=[CH2:15]
3,[CH3:13][CH2:14][O:15][C:16](=[O:17])[CH2:18][C:19](=[O:20])[O:21][CH2:22][CH3:23].[O:10]=[N+:8]([O-:9])[CH:7]=[CH:6][C:5]1=[CH:4][CH:3]=[C:2]([CH:12]=[CH:11]1)[Cl:1]>>[O:15]([C:16](=[O:17])[CH:18]([C:19]([O:21][CH2:22][CH3:23])=[O:20])[CH:6]([CH2:7][N+:8]([O-:9])=[O:10])[C:5]1=[CH:11][CH:12]=[C:2]([Cl:1])[CH:3]=[CH:4]1)[CH2:14][CH3:13]
4,[CH:8]=1[S:9][CH:10]=[C:6]([C:5]#[C:4][CH2:3][N:2]([C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]2)[CH3:1])[CH:7]=1.[OH2:17]>>[C:5]([N:2]([CH3:1])[C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[CH:16]1)([C:6]2=[CH:10][S:9][CH:8]=[CH:7]2)=[CH:4][CH:3]=[O:17]
5,[CH2:11]1[CH2:12][C:10]1=[CH:9][C:8]2=[CH:7][CH:6]=[C:5]([C:3]([O:2][CH3:1])=[O:4])[CH:14]=[CH:13]2>>[CH2:10]1[CH2:11][CH:12]=[C:9]1[C:8]2=[CH:13][CH:14]=[C:5]([CH:6]=[CH:7]2)[C:3]([O:2][CH3:1])=[O:4]
6,[CH:6]=1[CH:5]=[C:4]([N+:2](=[O:1])[O-:3])[C:9](=[CH:8][CH:7]=1)[N:10]=[N+:11]=[N-:12]>>[C:4]=12[C:9](=[N:10][O:3][N+:2]=1[O-:1])[CH:8]=[CH:7][CH:6]=[CH:5]2
7,[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]=1[CH:10]=[CH:9][C:8](=[CH:32][CH:31]=1)[CH:7]=[CH:6][C:4]([O:3][CH2:2][CH3:1])=[O:5]>>[CH3:28][Si:27]([CH3:29])([CH3:30])[CH2:26][CH2:25][CH2:24][CH2:23][CH2:22][CH2:21][CH2:20][CH2:19][CH2:18][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][NH:12][C:11]1=[CH:31][CH:32]=[C:8]([CH:7]=[CH:6][C:4]([OH:33])=[O:5])[CH:9]=[CH:10]1
8,[CH3:3][CH:4]([CH:9]=[CH:10][C:11]1=[CH:12][CH:13]=[C:14]([Br:15])[CH:16]=[CH:17]1)[O:5][C:6](=[O:8])[NH2:7].[CH3:1][OH:2]>>[CH:9](=[CH:4][CH3:3])[CH:10]([NH:7][C:6]([O:2][CH3:1])=[O:8])[C:11]1=[CH:17][CH:16]=[C:14]([Br:15])[CH:13]=[CH:12]1
9,[CH2:14]([CH2:13][C:11]([CH3:12])=[CH2:10])[OH:15].[O:3]=[C:2]([C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]1)[CH3:1]>>[CH3:12][C:11]=1[CH2:10][C:2]([C:4]2=[CH:9][CH:8]=[CH:7][CH:6]=[CH:5]2)([CH3:1])[O:15][CH2:14][CH:13]=1
10,[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]=1[C:41](=[CH:43][C:25](=[CH:26][CH:27]=1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([C:13]([C:11]3=[N:12][C:8]([CH2:7][C:5](=[O:6])[O:4][CH2:3][CH3:2])=[CH:9][S:10]3)=[CH:14][CH:15]=2)[CH3:19])[CH3:42].[OH2:1]>>[F:34][C:33]([F:35])([F:36])[C:31]([C:37]([F:40])([F:39])[F:38])([OH:32])[CH:30]=[CH:29][C:28]1=[C:41]([CH:43]=[C:25]([CH:26]=[CH:27]1)[C:20]([CH2:21][CH3:22])([CH2:23][CH3:24])[C:16]=2[CH:17]=[C:18]([CH3:19])[C:13](=[CH:14][CH:15]=2)[C:11]3=[N:12][C:8](=[CH:9][S:10]3)[CH2:7][C:5](=[O:6])[OH:1])[CH3:42]
11,[CH2:7]([CH2:8][CH2:9][CH:10]=[CH2:11])[CH3:6].[CH3:1][C:2](=[O:3])[CH:4]=[CH2:5]>>[CH2:7]([CH2:8][CH2:9][CH:10]=[CH:4][C:2]([CH3:1])=[O:3])[CH3:6]
