2023-12-07 09:52:01,483 - INFO - Condition 1 | Batch Progress: 0.54% | Data Progress: 0.00%
2023-12-07 09:52:01,597 - INFO - Condition 1 | Batch Progress: 1.07% | Data Progress: 0.54%
2023-12-07 09:52:01,651 - INFO - Condition 1 | Batch Progress: 1.61% | Data Progress: 1.07%
2023-12-07 09:52:01,708 - INFO - Condition 1 | Batch Progress: 2.14% | Data Progress: 1.61%
2023-12-07 09:52:02,340 - INFO - Condition 1 | Batch Progress: 2.68% | Data Progress: 2.14%
2023-12-07 09:52:02,413 - INFO - Condition 1 | Batch Progress: 3.21% | Data Progress: 2.68%
2023-12-07 09:52:02,922 - INFO - Condition 1 | Batch Progress: 3.75% | Data Progress: 3.21%
2023-12-07 09:52:02,987 - INFO - Condition 1 | Batch Progress: 4.28% | Data Progress: 3.75%
2023-12-07 09:57:32,214 - INFO - Condition 1 | Batch Progress: 0.54% | Data Progress: 0.00%
2023-12-07 09:57:32,328 - INFO - Condition 1 | Batch Progress: 1.07% | Data Progress: 0.54%
2023-12-07 09:57:32,391 - INFO - Condition 1 | Batch Progress: 1.61% | Data Progress: 1.07%
2023-12-07 09:57:32,446 - INFO - Condition 1 | Batch Progress: 2.14% | Data Progress: 1.61%
2023-12-07 09:57:33,106 - INFO - Condition 1 | Batch Progress: 2.68% | Data Progress: 2.14%
2023-12-07 09:57:33,180 - INFO - Condition 1 | Batch Progress: 3.21% | Data Progress: 2.68%
2023-12-07 09:57:33,660 - INFO - Condition 1 | Batch Progress: 3.75% | Data Progress: 3.21%
2023-12-07 09:57:33,730 - INFO - Condition 1 | Batch Progress: 4.28% | Data Progress: 3.75%
2023-12-07 09:58:19,921 - INFO - Condition 1 | Batch Progress: 0.54% | Data Progress: 0.00%
2023-12-07 09:58:20,035 - INFO - Condition 1 | Batch Progress: 1.07% | Data Progress: 0.54%
2023-12-07 09:58:20,099 - INFO - Condition 1 | Batch Progress: 1.61% | Data Progress: 1.07%
2023-12-07 09:58:20,152 - INFO - Condition 1 | Batch Progress: 2.14% | Data Progress: 1.61%
2023-12-07 09:58:20,802 - INFO - Condition 1 | Batch Progress: 2.68% | Data Progress: 2.14%
2023-12-07 09:58:20,868 - INFO - Condition 1 | Batch Progress: 3.21% | Data Progress: 2.68%
2023-12-07 09:58:21,368 - INFO - Condition 1 | Batch Progress: 3.75% | Data Progress: 3.21%
2023-12-07 09:58:21,444 - INFO - Condition 1 | Batch Progress: 4.28% | Data Progress: 3.75%
2023-12-07 09:58:56,761 - INFO - Condition 1 | Batch Progress: 0.54% | Data Progress: 0.00%
2023-12-07 09:58:56,879 - INFO - Condition 1 | Batch Progress: 1.07% | Data Progress: 0.54%
2023-12-07 09:58:56,934 - INFO - Condition 1 | Batch Progress: 1.61% | Data Progress: 1.07%
2023-12-07 09:58:56,992 - INFO - Condition 1 | Batch Progress: 2.14% | Data Progress: 1.61%
2023-12-07 09:58:57,715 - INFO - Condition 1 | Batch Progress: 2.68% | Data Progress: 2.14%
2023-12-07 09:58:57,784 - INFO - Condition 1 | Batch Progress: 3.21% | Data Progress: 2.68%
2023-12-07 09:58:58,293 - INFO - Condition 1 | Batch Progress: 3.75% | Data Progress: 3.21%
2023-12-07 09:58:58,381 - INFO - Condition 1 | Batch Progress: 4.28% | Data Progress: 3.75%
